ID;LABEL;DICE;HDRFDST;TRIAL
Patient 0;WhiteMatter;0.686920757;10.48808848;Atlas
Patient 0;GreyMatter;0.541159963;10.63014581;Atlas
Patient 0;Hippocampus;0.642864217;5;Atlas
Patient 0;Amygdala;0.633961203;4.123105626;Atlas
Patient 0;Thalamus;0.817486624;23.93728482;Atlas
Patient 1;WhiteMatter;0.701133403;12.20655562;Atlas
Patient 1;GreyMatter;0.565789376;14.35270009;Atlas
Patient 1;Hippocampus;0.741296097;5.385164807;Atlas
Patient 1;Amygdala;0.673486315;5.385164807;Atlas
Patient 1;Thalamus;0.871372889;5.477225575;Atlas
Patient 2;WhiteMatter;0.664056232;11.35781669;Atlas
Patient 2;GreyMatter;0.560688395;12.56980509;Atlas
Patient 2;Hippocampus;0.631093479;5.385164807;Atlas
Patient 2;Amygdala;0.781571816;3.16227766;Atlas
Patient 2;Thalamus;0.854173792;5.385164807;Atlas
Patient 3;WhiteMatter;0.69309582;10.63014581;Atlas
Patient 3;GreyMatter;0.578764155;9.219544457;Atlas
Patient 3;Hippocampus;0.74204182;5;Atlas
Patient 3;Amygdala;0.76847567;3.16227766;Atlas
Patient 3;Thalamus;0.852114618;6.480740698;Atlas
Patient 4;WhiteMatter;0.701036114;11.35781669;Atlas
Patient 4;GreyMatter;0.532615803;14.79864859;Atlas
Patient 4;Hippocampus;0.702306702;14.56021978;Atlas
Patient 4;Amygdala;0.641068023;5.385164807;Atlas
Patient 4;Thalamus;0.827529575;5.477225575;Atlas
Patient 5;WhiteMatter;0.703894618;10.72380529;Atlas
Patient 5;GreyMatter;0.563077192;11.48912529;Atlas
Patient 5;Hippocampus;0.685477178;7.071067812;Atlas
Patient 5;Amygdala;0.762033167;3.16227766;Atlas
Patient 5;Thalamus;0.813527553;5;Atlas
Patient 6;WhiteMatter;0.662613462;19.84943324;Atlas
Patient 6;GreyMatter;0.528397392;18.81488772;Atlas
Patient 6;Hippocampus;0.727409497;5;Atlas
Patient 6;Thalamus;0.860079779;6.164414003;Atlas
Patient 6;Amygdala;0.654056875;4.358898944;Atlas
Patient 7;WhiteMatter;0.716730957;10.04987562;Atlas
Patient 7;GreyMatter;0.572181726;12.08304597;Atlas
Patient 7;Hippocampus;0.743085314;4.69041576;Atlas
Patient 7;Amygdala;0.769103903;20.02498439;Atlas
Patient 7;Thalamus;0.859911849;5;Atlas
Patient 8;WhiteMatter;0.727663825;11.18033989;Atlas
Patient 8;GreyMatter;0.560307536;13.03840481;Atlas
Patient 8;Hippocampus;0.717889018;4.358898944;Atlas
Patient 8;Amygdala;0.757284149;3.605551275;Atlas
Patient 8;Thalamus;0.887055647;4.358898944;Atlas
Patient 9;WhiteMatter;0.665132367;11.18033989;Atlas
Patient 9;GreyMatter;0.54317596;12.04159458;Atlas
Patient 9;Hippocampus;0.722744773;18;Atlas
Patient 9;Amygdala;0.754514022;5.099019514;Atlas
Patient 9;Thalamus;0.824700583;5.477225575;Atlas
